央视频道,#genre#
卫视频道,#genre#
东南卫视,http://58.254.14.59:808/hls/38/index.m3u8
东方卫视,http://113.109.117.242:8081/hls/45/index.m3u8
东方卫视,http://58.254.14.59:808/hls/50/index.m3u8
云南卫视,http://113.109.117.242:8081/hls/62/index.m3u8
云南卫视,http://120.84.121.11:808/hls/151/index.m3u8
云南卫视,http://58.254.14.59:808/hls/36/index.m3u8
兵团卫视,http://120.84.121.126:808/hls/157/index.m3u8
兵团卫视,http://120.84.121.201:808/hls/157/index.m3u8
兵团卫视,http://120.84.121.206:808/hls/157/index.m3u8
兵团卫视,http://120.84.121.106:808/hls/157/index.m3u8
凤凰卫视,http://113.64.145.154:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.186:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.141:8081/hls/37/index.m3u8
凤凰卫视,http://183.1.248.217:8081/hls/37/index.m3u8
凤凰卫视,http://183.1.249.104:8081/hls/37/index.m3u8
凤凰卫视,http://183.1.250.176:8081/hls/37/index.m3u8
北京卫视,http://113.109.117.242:8081/hls/46/index.m3u8
北京卫视,http://183.1.249.62:8081/hls/45/index.m3u8
北京卫视,http://120.84.121.201:808/hls/153/index.m3u8
北京卫视,http://58.254.14.59:808/hls/22/index.m3u8
北京卫视,http://120.84.121.206:808/hls/153/index.m3u8
北京卫视,http://120.84.121.25:808/hls/153/index.m3u8
北京卫视,http://120.84.121.126:808/hls/153/index.m3u8
南方卫视,http://14.155.226.95:8888/hls/22/index.m3u8
厦门卫视,http://120.84.121.206:808/hls/156/index.m3u8
厦门卫视,http://120.84.121.201:808/hls/156/index.m3u8
吉林卫视,http://113.109.117.242:8081/hls/60/index.m3u8
吉林卫视,http://120.84.121.206:808/hls/136/index.m3u8
吉林卫视,http://120.84.121.54:808/hls/136/index.m3u8
吉林卫视,http://58.254.14.59:808/hls/43/index.m3u8
四川卫视,http://113.109.117.242:8081/hls/56/index.m3u8
四川卫视,http://120.84.121.54:808/hls/165/index.m3u8
四川卫视,http://120.84.121.206:808/hls/165/index.m3u8
四川卫视,http://113.64.145.141:8081/hls/71/index.m3u8
四川卫视,http://113.64.145.129:8081/hls/71/index.m3u8
四川卫视,http://113.64.145.200:8081/hls/71/index.m3u8
四川卫视,http://113.64.145.186:8081/hls/71/index.m3u8
四川卫视,http://120.84.121.106:808/hls/165/index.m3u8
大湾区卫视,http://120.84.121.54:808/hls/119/index.m3u8
大湾区卫视,http://120.84.121.126:808/hls/119/index.m3u8
大湾区卫视,http://120.84.121.25:808/hls/119/index.m3u8
天津卫视,http://113.109.117.242:8081/hls/50/index.m3u8
天津卫视,http://120.84.121.25:808/hls/149/index.m3u8
天津卫视,http://113.64.145.154:8081/hls/48/index.m3u8
天津卫视,http://120.84.121.201:808/hls/149/index.m3u8
天津卫视,http://113.64.145.173:8081/hls/48/index.m3u8
天津卫视,http://113.64.145.186:8081/hls/48/index.m3u8
天津卫视,http://183.1.250.176:8081/hls/48/index.m3u8
天津卫视,http://113.64.145.141:8081/hls/48/index.m3u8
宁夏卫视,http://120.84.121.201:808/hls/140/index.m3u8
宁夏卫视,http://120.84.121.25:808/hls/140/index.m3u8
宁夏卫视,http://120.84.121.11:808/hls/140/index.m3u8
宁夏卫视,http://120.84.121.126:808/hls/140/index.m3u8
宁夏卫视,http://120.84.121.106:808/hls/140/index.m3u8
宁夏卫视,http://120.84.121.206:808/hls/140/index.m3u8
宁夏卫视,http://120.84.121.54:808/hls/140/index.m3u8
安徽卫视,http://113.109.117.242:8081/hls/53/index.m3u8
安徽卫视,http://120.84.121.106:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.206:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.54:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.11:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.201:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.25:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.126:808/hls/131/index.m3u8
山东卫视,http://120.84.121.25:808/hls/132/index.m3u8
山东卫视,http://113.109.117.242:8081/hls/51/index.m3u8
山东卫视,http://113.64.145.200:8081/hls/75/index.m3u8
山东卫视,http://113.64.145.141:8081/hls/75/index.m3u8
山东卫视,http://120.84.121.54:808/hls/132/index.m3u8
山东卫视,http://113.64.145.154:8081/hls/75/index.m3u8
