央视频道,#genre#
CCTV5,http://122.231.82.183:55555/rtp/233.50.200.108:5140
CCTV5,http://36.49.53.197:8800/rtp/239.37.0.232:5540
CCTV5,http://175.148.108.206:8888/rtp/232.0.0.196:9210
CCTV5,http://117.57.50.225:8888/rtp/238.1.78.171:7240
CCTV5,http://27.10.237.17:8000/rtp/225.0.4.143:7980
CCTV5,http://27.24.21.145:8888/rtp/239.69.1.123:10376
CCTV5,http://117.57.50.223:8888/rtp/238.1.78.171:7240
CCTV5,http://125.69.91.98:8866/rtp/239.93.1.36:8004
CCTV5,http://125.69.91.98:8866/rtp/239.93.1.12:2224
CCTV5,http://123.145.76.59:8002/rtp/225.0.4.143:7980
CCTV5,http://59.47.112.116:8000/rtp/239.33.5.5:22610
CCTV5,http://182.149.106.56:8888/rtp/239.93.1.36:8004
CCTV5,http://182.149.106.56:8888/rtp/239.93.1.12:2224
CCTV5,http://124.65.3.255:20000/rtp/239.3.1.173:8001
CCTV5,http://221.232.175.38:5100/rtp/239.69.1.123:10376
CCTV5,http://117.30.197.100:5555/rtp/239.61.3.35:9728
CCTV5,http://115.205.94.194:8888/rtp/233.50.201.197:5140
CCTV5+,http://221.15.5.22:8888/rtp/225.1.4.75:1104
CCTV5+,http://122.231.82.183:55555/rtp/233.50.201.220:5140
CCTV5+,http://117.57.50.225:8888/rtp/238.1.78.237:7768
CCTV5+,http://27.10.237.17:8000/rtp/225.0.4.73:7980
CCTV5+,http://27.24.21.145:8888/rtp/239.69.1.12:9712
CCTV5+,http://117.57.50.223:8888/rtp/238.1.78.237:7768
CCTV5+,http://123.145.76.59:8002/rtp/225.0.4.73:7980
CCTV5+,http://124.65.3.255:20000/rtp/239.3.1.130:8004
CCTV5+,http://221.232.175.38:5100/rtp/239.69.1.12:9712
CCTV5+,http://221.232.175.38:5100/rtp/239.254.96.234:9484
CCTV5+,http://117.30.197.100:5555/rtp/239.61.2.171:9014
CCTV5+,http://115.205.94.194:8888/rtp/233.50.201.220:5140
CCTV6,http://122.231.82.183:55555/rtp/233.50.200.109:5140
CCTV6,http://36.49.53.197:8800/rtp/239.37.0.233:5540
CCTV6,http://175.148.108.206:8888/rtp/232.0.0.194:9206
CCTV6,http://117.57.50.225:8888/rtp/238.1.78.172:7248
CCTV6,http://27.10.237.17:8000/rtp/225.0.4.144:7980
CCTV6,http://27.24.21.145:8888/rtp/239.69.1.124:10382
CCTV6,http://117.57.50.223:8888/rtp/238.1.78.172:7248
CCTV6,http://125.69.91.98:8866/rtp/239.93.1.13:2226
CCTV6,http://59.47.112.116:8000/rtp/239.33.5.7:22630
CCTV6,http://182.149.106.56:8888/rtp/239.93.1.13:2226
CCTV6,http://124.65.3.255:20000/rtp/239.3.1.174:8001
CCTV6,http://221.232.175.38:5100/rtp/239.69.1.124:10382
CCTV6,http://117.30.197.100:5555/rtp/239.61.3.36:9734
CCTV6,http://115.205.94.194:8888/rtp/233.50.201.198:5140
CCTV7,http://111.227.71.118:7000/rtp/239.254.200.159:6000
